# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
52745.29754566356  0.01013888889  2.33965e+00  1.59899e+00  0.22607
52745.31898663579  0.00924189815  1.55778e+00  1.49108e+00  0.28807
52745.34128987653  0.00921875000  1.05747e-01  1.39241e+00  0.32987
52745.36501672838  0.01060763889  1.95883e+00  1.34039e+00  0.31009
52745.38251672838  0.00646412037  -6.74823e-01  1.67144e+00  0.32330
52745.41034658949  0.01930555556  1.10865e+00  1.11259e+00  0.24334
52745.44056070986  0.00928819444  9.32371e-01  1.79145e+00  0.19762
52745.46287552467  0.00924189815  6.34699e-02  2.53878e+00  0.12562
52745.48472737653  0.00921875000  6.97651e-01  2.33169e+00  0.15667
52745.50715793209  0.00928819444  1.95341e+00  1.76482e+00  0.23099
52745.52946117282  0.00924189815  1.44509e-01  1.52742e+00  0.26641
52745.55277135801  0.01020254630  1.29793e+00  1.55123e+00  0.30559
52746.46255145060  0.01232060185  2.77295e+00  3.99701e+00  0.03027
52746.49053756172  0.01245949074  1.92830e+00  1.97702e+00  0.12000
52746.51832691357  0.01240162037  1.92797e+00  1.32737e+00  0.26779
52746.54629566357  0.01250000000  1.91307e+00  1.15159e+00  0.33591
52746.58317066357  0.02148148148  2.23061e+00  1.11465e+00  0.22150
52747.92428177468  0.00358796296  7.22883e-01  2.21713e+00  0.33028
52747.93976788579  0.01052083333  3.00471e+00  1.29974e+00  0.33110
52747.96203061727  0.01020254630  2.68179e+00  1.32381e+00  0.31760
52747.98416024690  0.01012152778  4.39338e-01  1.50673e+00  0.25688
52748.00641719134  0.01014467593  1.30023e+00  1.70936e+00  0.19955
52748.02826325616  0.01010416667  4.58970e+00  1.57612e+00  0.21743
52748.05045654319  0.01007523148  -1.20384e+00  1.41890e+00  0.28043
52748.07266719134  0.01006365741  3.59231e+00  1.30497e+00  0.33962
52748.09414867283  0.00921875000  -7.64305e-01  1.35408e+00  0.33663
52748.11649820986  0.00921875000  5.93781e-01  1.37334e+00  0.33767
52748.13980260801  0.01018518519  2.30295e-01  1.38607e+00  0.30019
52748.16218108023  0.01019097222  -2.18967e+00  1.47824e+00  0.24818
